city,comments,name,prices,quality_price,rating,stars,heredados,acceso/comunicacion,entretenimiento/deporte,ninios,comida/bebida
Riviera Maya,81,Joy Tulum Hotel boutique,580,4.5,4.5,2.5,0,1,1,0,1
Riviera Maya,365,Villa Las Estrellas Hotel,3677,4.0,4.5,4.0,1,1,1,1,1
Riviera Maya,874,Nômade Tulum Resort,11465,4.0,4.0,4.0,1,1,1,0,1
Riviera Maya,442,Maya Tulum Resort,3926,4.0,4.0,3.5,1,1,1,0,1
Riviera Maya,348,Posada Lamar Hotel,4175,4.0,4.5,0,1,1,0,0,1
Riviera Maya,338,El Paraiso Hotel Tulum,4372,4.0,4.0,3.5,1,1,1,0,1
Riviera Maya,68,Era Hotel Tulum & Spa,3184,4.5,4.5,3.0,0,1,1,1,1
Riviera Maya,46,Casa Agape Hotel Boutique & Beach Club,3514,5.0,5.0,0,0,1,1,0,1
Riviera Maya,304,Habitas Tulum Hotel,8168,4.0,4.0,0,1,1,1,0,1
Riviera Maya,429,Hotel Posada 06 Tulum,2379,4.0,4.5,3.0,0,1,1,0,1
Riviera Maya,328,XscapeTulum Hotel,1472,4.5,4.0,3.0,0,1,1,1,1
Riviera Maya,285,Pacha Tulum Hotel,1223,4.5,4.5,3.0,0,1,1,1,1
Riviera Maya,403,Latino Hotel Boutique,1427,4.5,4.5,3.0,0,1,1,1,1
Riviera Maya,118,Casa Santiago Hotel,1784,4.5,4.5,3.5,0,1,1,1,1
Riviera Maya,81,Niik Tulum Hotel,1417,4.5,5.0,4.0,0,1,1,1,1
Riviera Maya,83,La Tulumeña Hotel,1933,5.0,5.0,0,0,1,0,0,1
Riviera Maya,353,Villas De Rosa Beach Resort Apartamento,1875,4.0,4.5,3.5,1,1,1,0,1
Riviera Maya,1197,Hip Hotel Tulum,5620,4.0,4.5,3.0,1,1,0,0,1
Riviera Maya,777,Piedra Escondida Hotel,4237,4.0,4.5,3.0,1,1,0,1,1
Riviera Maya,1257,Mezzanine Colibri Boutique Hotel,6233,4.5,5.0,4.0,1,1,1,0,1
Riviera Maya,7753,Dreams Tulum Resort & Spa Resort (todo incluido),30688,4.0,4.0,5.0,1,1,1,1,1
Riviera Maya,117,Conrad Tulum Riviera Maya Hotel,7351,4.5,4.5,3.0,1,1,1,1,1
Riviera Maya,2239,Kore Tulum Retreat and Spa Resort,7600,4.0,4.0,5.0,1,1,1,0,1
Riviera Maya,994,Amansala Eco Chic Resort & Spa,3954,4.0,4.0,3.0,1,1,1,1,1
Riviera Maya,493,Mereva Tulum by Blue sky Hotel,3993,4.0,4.5,4.0,1,1,1,1,1
Riviera Maya,602,Casa Malca Hotel,19189,4.0,4.0,4.0,1,1,1,1,1
Riviera Maya,22,Layla Tulum - Boutique Hotel,7111,5.0,5.0,0,0,1,1,0,1
Riviera Maya,14,Hotel Hacienda Scarlette,1120,3.5,3.5,2.0,0,0,0,1,1
Riviera Maya,27,Hostel NIcte-Ha Casa de campo,892,3.0,4.0,2.0,0,1,0,1,1
Riviera Maya,38,Casa Colonial Vintage Hotel Posada,809,3.0,4.0,3.0,0,1,1,1,1
Riviera Maya,23,Casa Villa Alquimia Posada,3587,4.0,3.5,0,1,1,1,1,1
