city,comments,name,prices,quality_price,rating,stars,heredados,acceso/comunicacion,entretenimiento/deporte,inclusion,ninios,comida/bebida
Bacalar,496,Hotel Awazul Bacalar,899,6.7,6.9,0,1,1,1,0,1,1
Bacalar,11,Departamentos Maculi,1067,7.5,7.7,3,1,0,1,0,1,1
Bacalar,3,Xoot Kaana Villa Vista Laguna,5738,5.8,6.0,0,1,1,0,0,1,1
Bacalar,87,Casa Árabe,1377,7.5,8.2,0,1,1,1,0,1,1
Bacalar,134,La Kinta Hotel,1580,8.6,8.3,0,0,1,1,1,1,1
Bacalar,60,Toto Blue Hotel Boutique,2177,7.1,7.4,4,0,1,1,1,1,1
Bacalar,134,Cabanas Luxury,2575,6.8,7.4,0,0,1,1,0,1,1
Bacalar,94,Hotel Makech,1100,8.4,8.3,3,0,0,1,0,1,0
Bacalar,8,Xoot Ka’Ana Villa Sensación,3974,8.4,8.9,0,1,1,1,0,1,1
Bacalar,158,Posada Casa Madrid,697,8.5,8.4,3,0,1,1,0,1,0
Bacalar,163,Blue Hotel,600,8.7,8.6,0,1,1,1,1,1,1
Bacalar,46,M&E,550,9.6,9.3,0,0,0,1,0,1,0
Bacalar,157,Hotel Maalob Che Bacalar By Rotamundos,686,8.3,8.2,4,0,1,0,0,0,0
Bacalar,46,M&E,550,9.6,9.3,0,0,0,1,0,1,0
Bacalar,4,Xoot Ka’Ana Villa las Estrellas,3745,10,9.5,0,1,1,0,0,0,1
Bacalar,32,Cabañas Alma Verde,542,9.7,9.5,3,0,0,1,0,0,1
Bacalar,108,Estancia Lapislázuli,700,9.4,9.0,0,0,1,1,1,0,0
Bacalar,675,Gran Jaguar Hotel,885,9.6,9.4,3,0,1,1,0,0,1
Bacalar,14,Cabañas La Fortuna Bacalar,1036,8.8,8.2,0,0,1,0,0,0,0
Bacalar,138,Casa Coral,550,9.5,9.3,3,0,1,1,0,1,1
Bacalar,93,Hotel Xa´an Bacalar,932,8.9,9.0,2,0,1,1,0,1,0
Bacalar,3,PRIVATE HOUSE Bacalar Lagoon TOP Location,2915,10,10.0,3,1,1,0,0,0,0
Bacalar,45,Zensus Eco Boutique Hotel,1618,9.7,9.6,0,0,1,1,0,1,1
Bacalar,70,Hotel Circulo Bacalar,2500,8.4,8.9,4,0,1,1,0,1,1
Centro Tulum,98,Hotel Sayab Tulum,1325,7.4,7.1,0,0,1,1,1,1,1
Centro Tulum,314,Casa Agape Boutique Hotel & Beach Club Tulum,1741,8.4,8.7,4,0,1,1,0,1,1
Centro Tulum,241,Kaab Boho,1046,8.0,7.9,3,0,1,1,1,1,1
Centro Tulum,180,Cielito Hotel Boutique,1096,8.6,8.5,0,0,1,1,0,1,1
Centro Tulum,388,Hotel Casa Sofia Tulum with Pool,1036,8.8,8.7,3,0,1,1,0,0,1
Centro Tulum,651,Mimosa Tulum,1930,9.1,9.1,4,0,1,1,0,1,1
Centro Tulum,381,Xperience Tulum Hotel,2202,9.1,8.9,0,0,1,1,1,1,1
