,city,comments,name,prices,quality_price,rating,services,stars,id,rank
1146,Bacalar,25,Casa Zazil Villa vacacional,1355 # 1150 # 1150,4.0,5.0,Estacionamiento gratis # Estacionamiento # Internet de alta velocidad gratuito (WiFi) # Desayuno gratis # Alquiler de bicicletas # Servicio de taxi # Seguridad las 24 horas # Recepción disponible las 24 horas # Aire acondicionado # Escritorio # Servicio de limpieza # Caja fuerte # Máquina de café/té # Refrigerador # TV por cable/satélite # Productos de tocador de cortesía # Habitaciones para no fumadores # Habitaciones para familias,0,68,63
1147,Bacalar,139,Toto Blue Hotel Boutique,2140 # 1926,3.5,4.0,Internet de alta velocidad gratuito (WiFi) # Wifi # Restaurante # Desayuno disponible # Se admiten mascotas ( Se aceptan perros / mascotas ) # Hotel para no fumadores # Limpieza en seco # Aire acondicionado # TV pantalla plana # Habitaciones para no fumadores # Habitaciones para familias,3.5,69,64
1181,Bacalar,1,Cabanas Marias Lakefront Hotel,,0.0,1.0,,0,70,65
1331,Bacalar,1,Hotel Circulo Bacalar,2500,0.0,5.0,,0,71,66
771,Bacalar,48,Hotel Carolina,,5.0,4.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Internet # Piscina # Bar/Salón # Restaurante # Actividades infantiles (Ideal para niños / familias) # Aire acondicionado # Estante para la ropa,0,72,67
698,Bacalar,55,Azul 36 Hotel,1744 # 1744 # 1744 # 1492 # 1492,2.0,4.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Internet # Piscina # Actividades infantiles (Ideal para niños / familias) # Aire acondicionado # Bañera/Ducha # Productos de tocador de cortesía # Habitaciones para no fumadores,0,73,68
1324,Bacalar,1,Casa Jaguar Hostal especializado,,0.0,5.0,,0,92,87
1325,Bacalar,6,XO Hotel Bacalar,1358 # 1358 # 1949,0.0,3.0,,0,93,88
1326,Bacalar,2,Papitos Bacalar,960 # 960 # 960,0.0,4.0,,0,94,89
1323,Bacalar,13,Hotel Pancho Villas Bacalar,1850 # 1872 # 1872,0.0,3.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Restaurante # Desayuno disponible # Playa # Actividades infantiles (Ideal para niños / familias) # Spa # Aire acondicionado # Suites,0,95,90
1322,Bacalar,2,Otoch Pixan Hotel Hotel especializado,,0.0,3.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Bar/Salón # Restaurante # Transporte al aeropuerto # Centro de negocios con acceso a Internet # Spa # Servicio a la habitación,0,98,93
1117,Bacalar,7,El Roble Hotel Nature,1125 # 1125,4.5,4.0,Estacionamiento gratuito privado cercano # Playa # Actividades infantiles (Ideal para niños / familias) # Almacenamiento de equipaje # Hotel para no fumadores # Recepción disponible las 24 horas # Aire acondicionado # Playa privada # Servicio de limpieza # Plancha,0,108,103
700,Bacalar,466,Hotel Laguna Bacalar,,3.0,3.0,Estacionamiento gratis # Internet gratuito # Piscina # Bar/Salón # Playa # Pesca # Masaje # Almacenamiento de equipaje # Servicio de limpieza # Balcón privado # Habitaciones para no fumadores # Habitaciones para familias,3.0,109,104
772,Bacalar,55,El Roble Hotel,589 # 589 # 591 # 591,4.0,4.0,Internet de alta velocidad gratuito (WiFi) # Internet,0,110,105
774,Bacalar,12,Khaban Bacalar Hotel Boutique,,4.0,4.5,Estacionamiento gratis # Internet gratuito # Piscina infinita # Restaurante # Canotaje # Alquileres de equipos para deportes acuáticos # Seguridad las 24 horas # Hotel para no fumadores # Cortinas blackout # Aire acondicionado # Balcón privado # Caja fuerte # Guardarropa/Ropero # Botellas de agua # Bañera/Ducha # Productos de tocador de cortesía # Vista a un lugar de interés # Vista a la piscina # Suites,0,111,106
840,Bacalar,546,Mia Bacalar Luxury Resort & Spa,,4.0,4.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Gimnasio / Sala de entrenamiento # Bar/Salón # Playa # Navegación # Guardería # Cortinas blackout # Habitaciones insonorizadas # Aire acondicionado # Escritorio # Máquina de café/té # TV por cable/satélite # Sofá cama # Ducha a ras de suelo # Habitaciones para no fumadores # Suites # Habitaciones para familias,4.0,112,107
601,Bacalar,15,La Albarina,,0.0,4.0,,0,113,108
600,Bacalar,25,Urban Bacalar Hotel by MIJ,,4.0,3.5,Estacionamiento gratis # Internet gratuito # Piscina # Desayuno disponible # Actividades infantiles (Ideal para niños / familias) # Transporte al aeropuerto # Almacenamiento de equipaje # Hotel para no fumadores # Aire acondicionado # Escritorio # Servicio de limpieza # Caja fuerte # Estante para la ropa # TV pantalla plana # Sofá cama # Ducha a ras de suelo # Vista a la piscina # Habitaciones para no fumadores # Habitaciones para familias,2.0,114,109
598,Bacalar,286,The Yak Lake House Hostal,,4.0,4.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Clases de yoga # Bar/Salón # Playa # Alquiler de bicicletas # Servicio de taxi # Seguridad las 24 horas # Cortinas blackout # Aire acondicionado # Servicio de limpieza # Baños privados # Horno # Cocina # Utensilios de cocina # Vista al mar # Habitaciones para no fumadores,0,115,110
597,Bacalar,103,Hotel Maria Maria,,4.5,5.0,Internet de alta velocidad gratuito (WiFi) # Wifi # Hotel para no fumadores # Aire acondicionado # Habitaciones para no fumadores,0,116,111
596,Bacalar,45,Hotel America,,3.0,3.0,Estacionamiento en la calle # Internet de alta velocidad gratuito (WiFi) # Alquiler de bicicletas # Los niños se alojan gratis # Transporte al aeropuerto # Masaje # Almacenamiento de equipaje # Conserje # Cortinas blackout # Aire acondicionado # Botellas de agua # Estante para la ropa # Baños privados # TV pantalla plana # Bañera/Ducha # Productos de tocador de cortesía # Habitaciones para no fumadores # Habitaciones para familias,2.0,117,112
595,Bacalar,24,Hotel Szapot,,5.0,4.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Internet # Alquiler de bicicletas # Actividades infantiles (Ideal para niños / familias) # Red para mosquitos # Aire acondicionado # Servicio de limpieza # Productos de tocador de cortesía # Habitaciones para familias,0,118,113
636,Bacalar,64,Ecocamping Yaxche,,4.0,3.5,Estacionamiento gratis # Bar/Salón # Canotaje # Excursionismo # Transporte al aeropuerto # Solárium # Almacenamiento de equipaje # Conserje # Aire acondicionado # Caja fuerte,2.0,119,114
639,Bacalar,3,Hotel Sur Bacalar,,0.0,4.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Desayuno gratis # Alquiler de bicicletas # Esnórquel # Cadenas de televisión para niños # Se admiten mascotas ( Se aceptan perros / mascotas ) # Aire acondicionado # Servicio de limpieza # Servicio a la habitación # Estante para la ropa # Plancha # Secador de pelo # Vista a la piscina # Suites # Habitaciones para familias,0,121,116
