city_ta,comments_ta,name,prices_ta,quality_price_ta,rating_ta,stars_ta,rank_ta,heredados_ta,total_heredados_ta,acceso/comunicacion_ta,total_acceso/comunicacion_ta,entretenimiento/deporte_ta,total_entretenimiento/deporte_ta,ninios_ta,total_ninios_ta,comida/bebida_ta,total_comida/bebida_ta,comments_bk,prices_bk,quality_price_bk,rating_bk,stars_bk,rank_bk,heredados_bk,total_heredados_bk,acceso/comunicacion_bk,total_acceso/comunicacion_bk,entretenimiento/deporte_bk,total_entretenimiento/deporte_bk,inclusion,total_inclusion,ninios_bk,total_ninios_bk,comida/bebida_bk,total_comida/bebida_bk
Bacalar,24,Las Nubes by MIJ,,0.0,5.0,3.0,156,1,3,1,2,0,0,1,2,0,0,189.0,2075,7.4,7.7,4,142,1,2,1,3,1,4,0,0,1,1,1,2
Bacalar,3,Casa Árabe,1600.0,0.0,3.5,0.0,172,0,0,0,0,0,0,0,0,0,0,87.0,1377,7.5,8.2,0,29,1,2,1,8,1,10,0,0,1,2,1,5
Bacalar,3,Cabañas MR,,0.0,4.5,0.0,192,0,0,1,1,0,0,0,0,0,0,76.0,600,9.1,8.9,0,60,0,0,0,0,1,5,0,0,0,0,1,1
Bacalar,1,Hotel Margarita Bacalar,,0.0,3.0,0.0,202,0,0,1,3,1,1,1,2,1,2,43.0,844,8.3,7.6,0,66,1,1,1,2,1,3,0,0,1,2,1,2
Bacalar,20,Villa Marilu B&B,,5.0,4.5,0.0,212,0,0,1,1,0,0,1,1,1,1,423.0,2660,8.9,9.5,4,1,1,2,1,5,1,5,0,0,0,0,1,2
Bacalar,236,Hotel CasaBakal - A pie de Laguna - Bacalar,2884.0,3.0,4.0,0.0,214,1,1,1,1,1,2,0,0,1,1,1.32,3871,7.7,8.5,5,57,1,2,1,3,1,11,0,0,1,1,1,5
Bacalar,17,Ade Hotel Bacalar,1019.0,0.0,3.5,0.0,215,0,0,1,3,0,0,1,2,0,0,340.0,1247,8.3,8.1,3,85,0,0,1,6,1,11,1,1,1,1,1,3
Bacalar,5,Hotelito Kuyche,787.0,5.0,5.0,0.0,217,0,0,1,2,0,0,1,1,0,0,337.0,811,9.5,9.1,0,107,0,0,0,0,1,3,1,1,1,1,1,1
Bacalar,2,Hotel Pejelagarto,,0.0,5.0,0.0,219,0,0,0,0,0,0,0,0,0,0,114.0,1378,8.7,8.5,3,114,0,0,1,2,1,2,0,0,1,2,1,1
Bacalar,4,Aldea Che-eek,1250.0,0.0,5.0,0.0,222,0,0,0,0,0,0,0,0,0,0,115.0,1600,8.3,7.9,0,121,1,1,1,1,1,2,1,1,1,1,1,1
