city,comments,name,prices,quality_price,rating,stars,id,rank,heredados,total_heredados,acceso/comunicacion,total_acceso/comunicacion,entretenimiento/deporte,total_entretenimiento/deporte,ninios,total_ninios,comida/bebida,total_comida/bebida
Bacalar,166,Kuuch Kaanil Villas Eco-romanticas Rancho,,3.5,4.0,0,134,129,1,1,1,1,1,1,0,0,1,1
Bacalar,23,Hotel Boutique Aurea Alojamiento,2900.0,0.0,5.0,0,135,130,1,3,1,1,1,1,0,0,1,2
Bacalar,17,Mi Kasa Tu Kasa Bacalar by Nah Hotels,,0.0,5.0,4.0,136,131,1,1,1,1,1,2,0,0,1,1
Bacalar,33,Agam Hotel Bacalar,1689.0,4.5,5.0,0,137,132,0,0,1,1,1,2,1,2,1,2
Bacalar,82,MBH Maya Bacalar Hotel Boutique Hostal especializado,,4.0,4.0,4.0,138,133,1,2,1,3,1,1,0,0,1,3
Bacalar,1,Aljanna House,,0.0,3.0,0,139,134,0,0,0,0,0,0,0,0,0,0
Bacalar,4,Cabanas Pucte,2475.0,0.0,3.5,0,140,135,0,0,0,0,0,0,0,0,0,0
Bacalar,31,Blue Bird,,5.0,4.0,0,141,136,1,1,0,0,1,1,0,0,1,1
Bacalar,1,Hotel Casa Poblana,908.0,0.0,5.0,0,142,137,0,0,0,0,0,0,0,0,0,0
Bacalar,152,Casa Aq ab al,,4.5,5.0,0,143,138,0,0,1,2,0,0,0,0,1,1
Bacalar,7,Num Ka'an Ranch,,5.0,5.0,0,144,139,1,1,1,2,1,1,1,1,1,3
Bacalar,3,Estancia Lapislázuli,,5.0,5.0,0,145,140,0,0,1,1,0,0,1,1,0,0
Bacalar,1,Siete Azules del Cielo Hostal especializado,,0.0,5.0,0,146,141,0,0,1,1,1,1,1,1,0,0
Bacalar,5,Hotel Puerta Del Cielo Hotel especializado,,0.0,3.5,0,147,142,0,0,0,0,0,0,0,0,0,0
Bacalar,3,Cabanas Maria's,,0.0,3.5,0,148,143,0,0,0,0,0,0,0,0,0,0
Bacalar,1,Lagon Bleu Bacalar Hostal especializado,,0.0,5.0,0,149,144,0,0,0,0,0,0,0,0,0,0
Bacalar,1,Casitas Bacalar Alojamiento,,0.0,5.0,0,150,145,0,0,0,0,0,0,0,0,0,0
Bacalar,6,Las Velas Bacalar Hotel especializado,,0.0,3.5,0,151,146,1,2,1,2,0,0,1,2,1,2
Bacalar,2,La Fortuna,,0.0,5.0,0,152,147,0,0,0,0,0,0,0,0,0,0
Bacalar,2,La Casa De Los Ninos Del Arbol B & B,,0.0,5.0,0,153,148,0,0,0,0,1,2,1,2,1,1
Bacalar,1,Hostal Las Palmas,,0.0,5.0,0,154,149,0,0,0,0,0,0,0,0,0,0
Bacalar,1,Hotel Khaban,,0.0,2.0,0,155,150,0,0,0,0,0,0,0,0,0,0
Bacalar,3,Taanah Maya,,0.0,1.0,0,156,151,0,0,0,0,0,0,1,1,0,0
Bacalar,16,K'iin Yeetel Ha Cabanas,,0.0,3.5,0,157,152,0,0,0,0,0,0,1,1,1,2
Bacalar,128,Hotelito El Paraiso,,4.0,3.5,0,158,153,1,1,1,2,0,0,0,0,1,1
Bacalar,4,Hotel Xcabal,,0.0,5.0,0,159,154,0,0,0,0,0,0,0,0,0,0
Bacalar,24,Las Nubes by MIJ Hotel,,0.0,5.0,3.0,161,156,1,3,1,2,0,0,1,2,0,0
Bacalar,206,Casita Carolina Hotel,,4.5,4.5,0,173,168,0,0,1,2,0,0,1,1,0,0
Bacalar,72,Pehaltun Villas,,4.5,4.5,0,175,170,0,0,1,2,0,0,0,0,1,2
Bacalar,47,Mis Casas Apartamento,,4.5,5.0,0,176,171,0,0,0,0,0,0,1,1,1,1
Bacalar,3,Casa Árabe Alojamiento,1600.0,0.0,3.5,0,177,172,0,0,0,0,0,0,0,0,0,0
Bacalar,2,Iguana Rana Cabins Bacalar,,5.0,5.0,0,178,173,0,0,1,2,0,0,0,0,0,0
Bacalar,3,Mi Cuartito En Bacalar,,5.0,5.0,0,179,174,0,0,1,2,0,0,0,0,0,0
Bacalar,1,Hotel San Joaquin,,0.0,5.0,0,180,175,0,0,1,1,1,1,1,1,1,2
Bacalar,1,Hostel Calma,,0.0,5.0,0,181,176,0,0,0,0,0,0,1,1,0,0
