city,comments,name,prices,quality_price,rating,services,stars,url
Riviera Nayarit,3 opiniones,"Bungalows de Los Arbolitos Rancho, Sayulita, Nayarit",,ui_bubble_rating bubble_45,4.5,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d3326085-Reviews-Bungalows_de_Los_Arbolitos-Sayulita_Pacific_Coast.html
Riviera Nayarit,2 opiniones,"Villa Poema de Amor, Sayulita, Nayarit",,,5.0,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d7744527-Reviews-Villa_Poema_de_Amor-Sayulita_Pacific_Coast.html
Riviera Nayarit,2 opiniones,"Casa Conchita Alojamiento, Sayulita, Nayarit",,,5.0,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d15293473-Reviews-Casa_Conchita-Sayulita_Pacific_Coast.html
Riviera Nayarit,5 opiniones,"Villa la Buena Vida Apartamento, Sayulita, Nayarit",,ui_bubble_rating bubble_35,4.5,"Aire acondicionado,Caja fuerte,Sala de estar,Estante para la ropa,Máquina de café/té,Refrigerador,Bañera/Ducha,Secador de pelo",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d2601715-Reviews-The_Good_Life_Villa-Sayulita_Pacific_Coast.html
Riviera Nayarit,5 opiniones,"Casa Atzcalli Villa vacacional, Sayulita, Nayarit",,ui_bubble_rating bubble_40,5.0,"Estacionamiento gratis,Internet gratuito,Piscina con vista,Desayuno gratis,Playa,Juegos de mesa/Rompecabezas,Se admiten mascotas ( Se aceptan perros / mascotas ),Terraza en la azotea,Escritorio,Servicio de limpieza,Balcón privado,Caja fuerte,Máquina de café/té,Kitchenette,Bañera/Ducha,Productos de tocador de cortesía,Vista al mar,Suites",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d1772122-Reviews-Casa_Atzcalli-Sayulita_Pacific_Coast.html
Riviera Nayarit,6 opiniones,"Casa Pata Salada Alojamiento, Sayulita, Nayarit",,ui_bubble_rating bubble_40,4.0,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d15779974-Reviews-Casa_Pata_Salada-Sayulita_Pacific_Coast.html
Riviera Nayarit,1 opinión,"Casa Contenta Hotel especializado, Sayulita, Nayarit",,,2.0,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d1418547-Reviews-Casa_Contenta-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Cielito Lindo B & B, Sayulita, Nayarit",,,,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d20172618-Reviews-Cielito_Lindo-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Saylita Centro Alojamiento, Sayulita, Nayarit",,,,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d17677914-Reviews-Saylita_Centro-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Suites Maria Bonita Alojamiento, Sayulita, Nayarit",,,,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d16672582-Reviews-Suites_Maria_Bonita-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Tia Adriana Posada, Sayulita, Nayarit",,,,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d23282012-Reviews-Tia_Adriana-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Casa Pajaro, Sayulita, Nayarit",,,,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d23312901-Reviews-Casa_Pajaro-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Lush Boutique Hotel, Sayulita, Nayarit",,,,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d19984431-Reviews-Lush_Boutique_Hotel-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Hotel Corazon Sayulita Alojamiento, Nayarit",,,,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d23981474-Reviews-Hotel_Corazon_Sayulita-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"EL 55 Sayulita Apartamento, Nayarit",,,,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d23322295-Reviews-EL_55_Sayulita-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Uamuxil Sayulita, Nayarit",,,,Actividades infantiles (Ideal para niños / familias),,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d17742430-Reviews-Uamuxil_Sayulita-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Hacienda Sayulita, Nayarit",,,,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d20225805-Reviews-Hacienda_Sayulita-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Casa del Jardin Casa de campo, Sayulita, Nayarit",,,,Actividades infantiles (Ideal para niños / familias),,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d14804262-Reviews-Casa_del_Jardin-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Hotel Adventure, Sayulita, Nayarit",,,,Actividades infantiles (Ideal para niños / familias),,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d14904545-Reviews-Hotel_Adventure-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Buenavista Boutique - Punta Sayulita Posada, Nayarit",,,,Actividades infantiles (Ideal para niños / familias),,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d13646300-Reviews-Buenavista_Boutique_Punta_Sayulita-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Refugio Del Cielo Alojamiento, Sayulita, Nayarit",,,,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d21423062-Reviews-Refugio_Del_Cielo-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Palapa Chili Alojamiento, Sayulita, Nayarit",,,,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d23422027-Reviews-Palapa_Chili-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Hotel Samanu, Sayulita, Nayarit",,,,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d23862161-Reviews-Hotel_Samanu-Sayulita_Pacific_Coast.html
Riviera Nayarit,6 opiniones,"Casa Siete Palmas & Casita La Palmita Villa vacacional, Sayulita, Nayarit",,ui_bubble_rating bubble_40,2.5,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d2055848-Reviews-Casa_Siete_Palmas_Casita_La_Palmita-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Casa Curva Apartamento, Sayulita, Nayarit",,,,Actividades infantiles (Ideal para niños / familias),,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d16708263-Reviews-Casa_Curva-Sayulita_Pacific_Coast.html
Riviera Nayarit,7 opiniones,"Hotel Don Miguel Plaza, Sayulita, Nayarit",,,2.5,"Internet de alta velocidad gratuito (WiFi),Actividades infantiles (Ideal para niños / familias),Transporte al aeropuerto,Almacenamiento de equipaje,Cambio de divisas,Hotel para no fumadores,Terraza solárium,Aire acondicionado,Habitaciones para familias",2.0 de 5 burbujas,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d9463191-Reviews-Hotel_Don_Miguel_Plaza-Sayulita_Pacific_Coast.html
Riviera Nayarit,27 opiniones,"Sayulita Beach House Apartamento, Nayarit",,ui_bubble_rating bubble_35,3.0,"Bar/Salón,Playa,Actividades infantiles (Ideal para niños / familias),Servicio de lavandería,Refrigerador,Bañera/Ducha",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d7932886-Reviews-Sayulita_Beach_House-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Casa Club Sayulita Villa vacacional, Nayarit",,,,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Wifi,Piscina",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d1925205-Reviews-Casa_Club_Sayulita-Sayulita_Pacific_Coast.html
Riviera Nayarit,1 opinión,"Casa Kanelo Hostal especializado, Sayulita, Nayarit",,,2.0,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d21177822-Reviews-Casa_Kanelo-Sayulita_Pacific_Coast.html
